id,Nombre Comercial,Clasificación,Categoría,Dirección,Dirección Web
13807,LA CASA DEL GAUCHO PARRILLADAS,RESTAURANTE,TERCERA,"AV ALFREDO NOBOA, VIA AMBATO",
13808,"HOSTAL ""CASA DE MATHIAS""",HOSTAL,3 Estrellas,FRAGATA 014 SCALESIA,
13809,IGUANA ,TRANSPORTE MARITIMO Y FLUVIAL,LANC_PASAJE,AV. CHARLES DARWIN ,www.scubaiguana.com
13810,FLOR DE MAYO,RESTAURANTE,TERCERA,COLON #524 Y CHIMBORAZO,
13811,PARRILLADA PICANTERÍA COLOMBIA,RESTAURANTE,TERCERA,"CDLA. HERRADURA, MZ. 4, SOLAR 2",
13812,COLUMBIA STEAK HOUSE,RESTAURANTE,PRIMERA / 4 TENEDORES,av. 12 de octubre n24-754 y av. cristobal colón,
13813,EMPANADAS CAMPO VIEJO,FUENTE DE SODA,SEGUNDA,AV. DE LOS SHYRIS N35-124 Y PORTUGAL,
13814,EMPANADAS CAMPO VIEJO,CAFETERÍA,SEGUNDA,Av. De los Shyris N35-124 y Suecia,www.campoviejo.com.ec
13815,ANTOJO MANABITA EL NO 2,RESTAURANTE,TERCERA / 2 TENEDORES,Vancouver N31-26 y Polonia,
13816,D'CARLO INTERNACIONAL,HOSTAL,1 ESTRELLAS,AMANCAY S13-52 y S13E,
13817,FRIEND´S CORNER N.-2,BAR,SEGUNDA / 2 COPAS,Av. Rio Amazonas n41-77 e Isla Floreana,
13818,CHIFA JUMBO,RESTAURANTE,TERCERA,SUCRE 309 Y PEDRO CARBO,
13819,EL POLITECNICO,RESTAURANTE,TERCERA / 2 TENEDORES,Andalucia N21-24 y Madrid,
13820,HOSTAL AMÉRICA,HOSTAL,1 ESTRELLAS,PASAJE OE2R S24-253 Y CUSUBAMBA,
13821,SOUL PM CLUB,DISCOTECA,PRIMERA / 3 COPAS,Llira Ñan Lt A19 y Cóndor Ñan,
13822,MIN JIANG,RESTAURANTE,TERCERA,MORALES ENTRE CORDOVA Y 10 DE AGOSTO,
13823,MIN JIANG,RESTAURANTE,TERCERA,MORALES Y CORDOVA,
13824,GALAPAGOS,HOSTAL,3 Estrellas,Calle Los Flamingos sin numero Avenida Antonio Gil,
13825,BETO,BAR,TERCERA,AV. ANTONIO GIL,
13826,EL FARO,HOSTAL,1 Estrellas,VÍA PEDERNALES COJIMIES  S/N  KM 34,
13827,MOOI,CAFETERÍA,(1) Una tazas,LOS ANTURIOS 5 SHIRYS,
13828,FRINGALE,FUENTE DE SODA,TERCERA,AV. INTEROCEANICA S/N Y FRANCISCO DE ORELLANA (C.C PASEO SAN FRANCISCO),
13829,CEVICHERIA SEÑOR ENCEBOLLADO,RESTAURANTE,CUARTA,CALLE AV. GENERAL ENRIQUEZ No.3045 y COLOMBIA,
13830,SANTA MARIA,HOSTAL,3 Estrellas,OSWALDO ROSERO SIN NUMERO IGNACIO HERNANDEZ,
13831,EL NUEVO CAFÉ BY GATOOCS,RESTAURANTE,SEGUNDA / 3 TENEDORES,LEONIDAS PLAZA GUTIÉRREZ N23-56 Y AV. VEINTIMILLA,
13832,VERDE PARAISO,CAMPAMENTO TURÍSTICO,Categoría única,VIA EL ACHOTE N-130 SECUNDARIA,
13833,LA LANGOSTA,RESTAURANTE,CUARTA / 1 TENEDOR,Av. de la Prensa  N49-11 Y Nicolás López,
13834,LA LANGOSTA,RESTAURANTE,TERCERA / 2 TENEDORES,Av. Rio Amazonas N49-79 Rio Curaray,
13835,PARRILLADAS SAMANTHA,RESTAURANTE,CUARTA,AV. GREGORIO URAPARI Y CALLE S/N,
13836,BRISAS DEL CAONI,RESTAURANTE,TERCERA,"AV. PRINCIPAL S/N, FRENTE A LA Y DE ANDOAS ",
13837,LA CABAÑA DE YOLY,RESTAURANTE,TERCERA / 2 TENEDORES,Av. Equinoccial E1-64 y Av. Manuel CÓrdova Galarza,
13838,CASA ALQVIMIA,HOTEL,3 ESTRELLAS,VICENTE ROCAFUERTE OE3-13 Y GUAYAQUIL,
13839,JUGOS Y BATIDOS DE LA TIA ,FUENTE DE SODA,TERCERA,MARISCAL FOCH E9-20 Y ANDRES XAURA ,
13840,KOKO RIKO,RESTAURANTE,TERCERA / 2 TENEDORES,Av. 6 de Diciembre 7407 El Inca. Esquina,
13841,PENSION CIELO AZUL,HOSTAL,1 Estrellas,9 DE OCTUBRE  N3-39 JUAN MONTALVO ,
13842,VERDE CAFÉ,RESTAURANTE,SEGUNDA,VIA A QUITO KM 1 Y MEDIO,
13843,AMBROSÍA RUMBA,BAR,SEGUNDA / 2 COPAS,REINA VICTORIA E7-08 y LIZARDO GARCíA,
13844,DISCOTECA PATOS,DISCOTECA,SEGUNDA / 2 COPAS,MICHELENA OE5-267 CABO ALBERTO ORELLANA,
13845,EL KIOSQUITO DEL SABOR,FUENTE DE SODA,SEGUNDA,Jose Luis Tamayo N24-636 y Av. Colon,
13846,RESTAURANTE YARAVÍ,"ORGANIZADORES DE EVENTOS, CONGRESOS Y CONVENCIONES",Categoría única,AV. EQUINOCCIAL E1-156 Y CONSEJO,
13847,EL CAFÉ DE MÓNICA,RESTAURANTE,SEGUNDA / 3 TENEDORES,FLORES N4-132 Y EUGENIO ESPEJO,
13848,HOSTAL ATOCHA N.6,HOSTAL,1 Estrellas,AV.ILALO 20 9na trasvensal,
13849,MANAI VASIJA DE BARRO,RESTAURANTE,SEGUNDA / 3 TENEDORES,AMAZONAS N24-223 Y LUIS CORDERO,
13850,LAS PAPAS DEL PANCHO Y GAMBA,FUENTE DE SODA,SEGUNDA,ROCA 176 Y TAMAYO,
13851,LA LEYENDA,BAR,(1) Una copa,Av. Francisco de Orellana  S/N Quijos,
13852,LA LEYENDA,CAFETERÍA,(1) Una taza,Av. Francisco de Orellana  S/N Quijos,
13853,LAS SOPAS DE SIEMPRE,RESTAURANTE,SEGUNDA / 3 TENEDORES,Eloy Alfaro N30-431 Av. Mariana de Jesús,
13854,LOS MOTES DE LA CORDERO,RESTAURANTE,SEGUNDA / 3 TENEDORES,Luis Cordero E4-200 y Mariscal Foch,
13855,NOCHES DE RONDA,RESTAURANTE,SEGUNDA / 3 TENEDORES,GUAYAQUIL S1-67 Y MORALES,
13856,NEGRITA COFFE & FOOD LA,RESTAURANTE,SEGUNDA,"LA AURORA S/N, KM 12.5,  C.C. LA PIAZZA VILLA CLUB,  LOCAL #27",
13857,RESTAURANTE RINCÓN DE LA MEJÍA,RESTAURANTE,SEGUNDA / 3 TENEDORES,Mejía OE2-28 y Flores,
13858,HOSTERIA AZULUNA,LODGE,4 Estrellas,RUTA SPONDYLUS E15 COMUNA LAS TUNAS S/N CIUDADELA 12 DE OCTUBRE,www.azuluna-ecolodge.com
13859,TOQUILLA HOTEL,HOSTAL,2 Estrellas,"AUTOPISTA COJIMIES - PEDERNALES SN KM. 33 1/2 VIA A COJIMIES, EL LECHUGAL",www.toquillahotel.com
13860,HOSTAL CITY PARK,HOSTAL,1 Estrellas,Sucre 4-32 Castillo,
13861,CHIFA SABARIN,RESTAURANTE,TERCERA,AV. SAMUEL CISNEROS  Y AV. DEL PUENTE,
13862,LOS EUCALIPTOS EL TINGO,HOSTAL,1 ESTRELLAS,2 de Agosto OE12-06 y Los Eucaliptos,
13863,PARA CHUPARSE LAS PATAS LOS FAMOSOS CANGREJOS DE MARIO,RESTAURANTE,SEGUNDA / 3 TENEDORES,REINA VICTORIA E7-17 Y WILSON,
13864,HAZIEL,HOSTAL,1 Estrellas,CARLOS ESPINOZA LARREA S/N LA FLORESTA,
13865,PARADERO DIEGUITO,RESTAURANTE,TERCERA,GRAL.ENRIQUEZ Y TRANSVERSAL A,
13866,PLAYA ESCONDIDA,REFUGIO,SEGUNDA,VIA CORREDOR GALERA SAN FRANCISCO,
13867,DON JUAN PA'ELLA,RESTAURANTE,CUARTA / 1 TENEDOR,Isla Floreana E6-20 y San Cristóbal,
13868,CORCEL EL,RESTAURANTE,TERCERA,PANAMERICANA SUR S/N ENTRADA A ALOAG,
13869,QUITO ANTIGUO,HOSTAL,3 ESTRELLAS,Joaquín Pinto N24-41 y Juan León Mera,www.quitoantiguo.com.ec
13870,TEXAS CHICKEN,RESTAURANTE,CUARTA / 1 TENEDOR,Pedro Vicente Maldonado S/N Y miguel carriÓn (C.C. EL RECREO),
13871,LA BURGUESA GOURMET BURGERS & GRILL,RESTAURANTE,CUARTA / 1 TENEDOR,Muros  N27-193 y GonzÁleZ SuÁrez,
13872,HACIENDA LAS CUEVAS TERRA LODGE,LODGE,5 ESTRELLAS,E20 VíA PAPALLACTA S/N  y MULAUCO,
13873,CASA BLANCA,HOSTAL,PRIMERA,PLAYA SANTA MARIANITA,www.hotelcasablanca.com
13874,FORTUNA LIN LIN YAN FENG,RESTAURANTE,TERCERA / 2 TENEDORES,De La Prensa N46-44  y Zamora,
13875,SAN MATEO,HOSTAL,1 Estrellas,Garcia Moreno  358 Quimbalengo ,
13876,HOSTAL PUNTO BLUE,HOTEL,2 Estrellas,RUPERTO DELGADO 0 COLON,www.hostalpuntoblue.com.ec
13877,CHIFA FELICIDAD CHINA,RESTAURANTE,CUARTA,AV. GONZALO LEON 902 Y LIBERTAD,
13878,JEKANNYTY,HOTEL,2 Estrellas,AVENIDA 9 DE OCTUBRE s/n ENRIQUE CASTILLO,https://www.hoteljekannyty.com
13879,DELI D´PAILA,RESTAURANTE,TERCERA / 2 TENEDORES,Av. Amazonas N35-159 y Japón,
13880,MENUDOS EVITA,RESTAURANTE,TERCERA,MONTUFAR 531 Y OLMEDO ESQ.,
13881,LA MAGDALENA INN,HOSTAL,1 ESTRELLAS,CACHA OE4-160 Y QUITUS,
13882,SPARTAKUS,DISCOTECA,PRIMERA / 3 COPAS,unión nacional de periodistas e2-32 e iñaquito,
13883,BROWNIES & CO.,FUENTE DE SODA,TERCERA,"CDLA. VERNAZA NORTE, AV. CONSTITUCION S/N Y JUAN YANCA MARENGO C.C. MALL DEL SOL ISLA PB-014",
13884,ISLA NESCAFE,FUENTE DE SODA,TERCERA,"CDLA KENNEDY, AV FRANCISCO BOLAÑOS CALLE D OESTE C.C POLICENTRO",
13885,BROWNIES & CO.,FUENTE DE SODA,TERCERA,"VIA A DAULE KM. 9, C.C. EL PASEO SHOPPING, ISLA ",
13886,ISLA NESCAFE MALL DEL SOL,FUENTE DE SODA,TERCERA,"AV. JUAN TANCA MARENGO No.100 Y JOAQUIN ORRANTIA, C.C. MALL DEL SOL, LOCAL 8",
13887,BROWNIES & CO,FUENTE DE SODA,TERCERA,"CDLA. EL CONDOR - AV. FRANCISCO DE ORELLANA S/N Y AV. GUILLERMO PAREJA ROLANDO - C.C. RIOCENTRO NORTE, PLANTA BAJA",
13888,HOSTAL FLORES DE EUCALIPTOS,HOSTAL,1 ESTRELLAS,LOS EUCALIPTOS OE4-57 y LOS ARROYOS,
13889,IBOMBAY,RESTAURANTE,(1) Un tenedor,AVENIDA MALECON 217 CALLE S/N,
13890,DELICATESSEN No.2,FUENTE DE SODA,TERCERA,VIA ALOAG S/N MARGEN DERECHO JUNTO A LA ESTACION DE SERVICOS TANDAPI 2,
13891,MARINO EL,RESTAURANTE,TERCERA,SAN PEDRO,
13892,PALMAS DEL SUR,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,Michelena S11-07 Sgto. Grau,
13893,DANNY DE LA COLON,RESTAURANTE,SEGUNDA / 3 TENEDORES,Av. Cristobal Colón E10-56 CAMILO DESTRUGE,
13894,EXQUISITA LA MEJOR COMIDA TIPICA,RESTAURANTE,TERCERA / 2 TENEDORES,Caldas E1-31 y Guayaquil,
13895,SMOQE,RESTAURANTE,CUARTA / 1 TENEDOR,AV. OSWALDO GUAYASAMÍN E5 25 Y AV. SIENA,
13896,LA HUECA DE AYA HUMA,RESTAURANTE,CUARTA / 1 TENEDOR,AV. RÍO AMAZONAS N39-144 y vicente cÁrdenas,
13897,EL CISNE,RESTAURANTE,SEGUNDA / 3 TENEDORES,Chile  OE1-35 y Flores,
13898,GALY'S CAFE,CAFETERÍA,(2) Dos tazas,Av. del Pacifico s/n Valdez,
13899,EL SOL,HOSTAL,1 Estrellas,ROCAFUERTE S9-016 29 DE SEPTIEMBRE,
13900,COMPLEJO TURISTICO LAS HELICONIAS,HOSTERÍA,3 Estrellas,AV. PANO KM 1.5 S/N SIN NOMBRE,www.hosterialasheliconias.com
13901,LA CASA CUENCANA N 2,HOSTAL,1 Estrellas,HERMANO MIGUEL 4-19 LARGA,
13902,LA CASA CUENCANA,HOSTAL,1 Estrellas,HERMANO MIGUEL 4-45 LARGA,www.lacasacuencana.worpress.com
13903,LAS PAPAS DEL OBRERO,RESTAURANTE,(1) Un tenedor,COTOPAXI  S/N AZUAY,
13904,DEYABOO RETRO-BAR ,BAR,TERCERA,AV. QUIJOS Nº 58 Y 13 DE ABRIL ,
13905,HOSTAL HAWAII QUITUMBE,HOSTAL,1 ESTRELLAS,LLIRA ÑAN LOTE 7 y CALLE S32,
13906,LAS PARRILLADAS URUGUAYAS,RESTAURANTE,TERCERA / 2 TENEDORES,Edmundo Chiriboga OE2-68 y Sbte. Gonzalo Salazar,
13907,MI SANDUCHE,FUENTE DE SODA,SEGUNDA,MEJIA OE 5-33 Y GARCIA MORENO,
13908,ORQUIDEA LA,TERMAS Y BALNEARIOS,SEGUNDA,CALLE RESTAURACION N° S10-71 Y MARCHENA,
13909,CHAMACO RESTAURANT,RESTAURANTE,SEGUNDA,CIUDADELA UNIVERCITARIA MZ-AE LOTES 7 Y8,
13910,HOSTAL ORO Y MAR,HOSTAL,TERCERA,AV.24 Y CALLE 17,
13911,DESVÍO BAR,BAR,TERCERA / 1 COPA,GALO PLAZA LASSO N65-149 Y DE LOS EUCALIPTOS,
13912,HOTEL CRYSTAL,HOSTAL,1 Estrellas,9 de octubre e1-13 Teran,
13913,BILOXI COMIDA TÍPICA,RESTAURANTE,CUARTA / 1 TENEDOR,Av de los shyris N39-274 y GASPAR DE VILLARROEL,
13914,CASA DEL BIZCOCHO ,FUENTE DE SODA,TERCERA,NATALIA JARRIN Y BOLIVAR,
13915,VOLCANO,HOSTAL,3 Estrellas,AV. ANTONIO GIL  S/N FLAMENCOS,
13916,GREEN FROST EL CARMEN,FUENTE DE SODA,TERCERA,ELOY ALFARO Y CARLOS A. ARAY,
13917,EL BARUCO,BAR,TERCERA / 1 COPA,martha bucaram de roldos s43-142 y josé maría proaño,
13918,SEAFLOWERS RESTAURANT,RESTAURANTE,(2) Dos tenedores,Calle A Via a la playa  n/s CALLE NUEVE,
13919,HOSTAL ERIDIÁN DE LA MALDONADO,HOSTAL,1 ESTRELLAS,AV. PEDRO Vicente MALDONADO LOTE 69 D y SUSANA LETTOR,
13920,HOSTAL SUEÑO DORADO,HOSTAL,1 Estrellas,ambato sn manta,
13921,TAMIA PIZZERIA,RESTAURANTE,TERCERA,TERAN N3-42 Y 9 DE OCTUBRE,
13922,COSTEÑITO N°1 EL,RESTAURANTE,CUARTA,CALLE ELOY ALFARO Y MALECÓN,
13923,REY POLLO DE MARCELO EL,RESTAURANTE,TERCERA,"CDLA. COLINAS DE LA ALBORADA, MZ. 762, SL. 13",
13924,D`NINO,RESTAURANTE,TERCERA,AV. JUNE GUZMAN 414 E/ NOVENA Y DECIMA ,
13925,MAMA KUNA,RESTAURANTE,SEGUNDA / 3 TENEDORES,MANABÍ OE1-42 Y FLORES,
13926,HOSTAL SERENA,HOSTAL,1 ESTRELLAS,AV. AMAZONAS N49-35 Y RÍO CURARAY,
13927,PALACIO DE ORO,RESTAURANTE,SEGUNDA,VICTOR. EMILIO ESTRADA # 1214 Y LAURELES,
13928,CHIFA FAMOSO ORIENTAL,RESTAURANTE,SEGUNDA,SAUCES 8 MZ. 454 F-45 SOLAR 9,
13929,CONCHA Y TIERRA,RESTAURANTE,TERCERA,CALLE RÍO  YAMBOYA Y GEORGENTOWN ESQUINA,
13930,CAFETERÍA MODELO CENTRO HISTÓRICO,RESTAURANTE,SEGUNDA / 3 TENEDORES,Sucre 391 y García Moreno,
13931,CAFETERÍA MODELO EL BOSQUE,RESTAURANTE,SEGUNDA / 3 TENEDORES,AV. DEL PARQUE S/N y Alonso de Torres (C.C. EL BOSQUE),
13932,HOTEL EL REY SAN NICOLAS,HOTEL,2 Estrellas,BENJAMIN TERAN 2-57 ANTONIA VELA,
13933,HOSTAL SOL DE RUMIÑAHUI,HOSTAL,3 Estrellas,CALLE E BALCÓN EL COLIBRÍ LOTE 170 VÍA PINTAG,http://xn--hostalsolderumiahui-93b.com
13934,CRISTAL PERLA,HOSTERÍA,TERCERA,LAS PEÑAS URBANIZACION  PLAYAS VERDES,
13935,ECCO PIZZA,FUENTE DE SODA,TERCERA,JOAQUIN PINTO E8-69 Y AV. 6 DE DICIEMBRE,
13936,FUENTES DE SODA LOLITA,FUENTE DE SODA,TERCERA,13 DE JUNIO N2-88 E INTIÑAN ,
13937,RESTAURANTE MANABÍ DE ROUSS,RESTAURANTE,SEGUNDA / 3 TENEDORES,MANABÍ OE3-104 y VENEZUELA,
13938,HOSTAL BAVARIA  DE LA MARISCAL,HOSTAL,2 ESTRELLAS,Ulpiano Páez N20-34 y 18 de Septiembre,
13939,PARADERO PUEBLO NUEVO,RESTAURANTE,CUARTA,VIA QUITO LOS BANCO KM 80 A 150m ESCUELA GABRIELA MISTRAL,
13940,HOSTAL RESIDENCIAL ÑUCA HUASI,HOSTAL,1 Estrellas,Autopista al Valle de los Chillos  km1  Antigua García Moreno,
13941,MAGIC PARTY,SALA DE RECEPCIONES Y BANQUETES,LUJO,aV. pedro vicente maldonaDo s10-01  y alamor,
13942,ATOS,HOTEL,2 Estrellas,AV. SIMÓN PLATA TORRES S/N CALLE LUIS VARGAS TORRES,www.hotelatos.ec
13943,SACHA IMPERIAL,HOTEL,2 Estrellas,Av.Torres 28-16 CALLE C,
13944,HOTEL SAN AGUSTÍN,HOTEL,4 ESTRELLAS,FLORES N5-28 y CHILE,
13945,MANANTIAL EL,RESTAURANTE,SEGUNDA,VICTOR EMILIO ESTRADA 520 Y LAS MONJAS,
13946,MONTE REAL,HOSTAL,1 ESTRELLAS,Av. AjavÍ OE5-360 y Paquisha,
13947,PUERTA AL CORAZON,HOSTAL,1 Estrellas,Barrio La estación  S/n Línea Férrea,www.puertaalcorazon.com
13948,TODOS VUELVEN,RESTAURANTE,TERCERA,"URBANIZACION EL CENTENARIO, CALLE PERIPA Y YUMBO",
13949,REY DAVID,RESTAURANTE,TERCERA,KM. 40 VIA CHONE - PARROQUIA 4 DE DICIEMBRE,
13950,CALAMAR EL,RESTAURANTE,TERCERA,MALECON Y GARCIA MORENO,
13951,CABAÑAS NEVIS,HOSTERÍA,3 Estrellas,VIA POZA HONDA S/N KM 5 SITIO LAS GUAICAS,
13952,PERNILES DEL CAMPO,CAFETERÍA,PRIMERA / 1 TAZA,JOAQUÍN PINTO  E4-393 Y  JUAN LEÓN MERA,
13953,TILAPIA ROJA LAS OLIVAS,RESTAURANTE,TERCERA,VIA RIO CAONI KM 1 RECIENTO SAN VICENTE DE ANDOAS,
13954,MANTA TROPICAL,HOSTAL,SEGUNDA,CALLE M3 ENTRE AV. 24 # 2377,www.mantatropical.com 
13955,CALIMA CAFE RESTAURANTE,RESTAURANTE,TERCERA / 2 TENEDORES,GUAYAS S/N Y ESMERALDAS,
13956,EL VIEJO FAROL DE LA RONDA,RESTAURANTE,SEGUNDA / 3 TENEDORES,Juan de Dios Morales OE1-53 y AV. Maldonado,
13957,CHIFA JHON HUA EL MAGNATE,RESTAURANTE,TERCERA,CDLA. LAS TEJAS SOLAR # 1 MZ 20,
13958,MOTES DE LA DOÑA JOSE,FUENTE DE SODA,TERCERA,MOROMORO OE2-141 Y TURUBAMBA,
13959,NUEVO CHIFA CHINA,RESTAURANTE,TERCERA,18 DE OCTUBRE Y CORDOVA,
13960,TRANVIA,RESTAURANTE,SEGUNDA / 3 TENEDORES,JUAN DE DIOS MORALES E1-25 y JOAQUIN Paredes,
13961,AVENUE HOSTAL,HOSTAL,2 ESTRELLAS,9 DE OCTUBRE N22-168 Y VEINTIMILLA,
13962,MI QUINTA,RESTAURANTE,TERCERA / 2 TENEDORES,CARAPUNGO 1335 y Quitus,
13963,HOT DOGS DE LA GONZALEZ SUAREZ LOS,FUENTE DE SODA,SEGUNDA,AV. AMERICA N37-107 Y NACIONES UNIDAS,
13964,HOT DOGS DE LA GONZALES SUAREZ,FUENTE DE SODA,TERCERA,AV. DE LOS SHYRIS N 34-346 Y HOLANDA,
13965,ASADERO REY POLLO,RESTAURANTE,(1) Un tenedor,,
13966,LA COCINA DE LEÑA,RESTAURANTE,SEGUNDA / 3 TENEDORES,Isidro Ayora s2-76 y Mariano Cruz Tipan,www.minayon.com
13967,LOS SECOS DEL FLACO Y MUCHO MÁS,RESTAURANTE,TERCERA / 2 TENEDORES,AV. MALDONADO S11-122 Y MIGUEL CARRIÓN (C.C. EL RECREO),
13968,THE IMPERIAL,HOSTAL,2 ESTRELLAS,JUAN RODRíGUEZ E7-55 y REINA VICTORIA,
13969,LA COSTEÑITA DEL BUEN SABOR,RESTAURANTE,TERCERA / 2 TENEDORES,GUIPUZCOA  E13-111 y lugo,
13970,EL SÚPER SANDUCHE FAST FOOD,CAFETERÍA,TERCERA,AV. TEODORO GÓMEZ 6-12 Y SUCRE,
13971,LA CASA DE LIBRILLO,RESTAURANTE,TERCERA / 2 TENEDORES,Av. El Inca E11-23 y Los Guabos,
13972,EL PORTAL,HOSTAL,1 Estrellas,LOS ALMENDROS LOTE 4 LOS VIÑEDOS,
13973,HOSTAL EL PORTAL,HOSTAL,1 Estrellas,MONTUFAR 458 Y BOLIVAR,
13974,POLLOS ASADERO K-ZERO,RESTAURANTE,TERCERA,AV. 8 DE DICIEMBRE Y JARAMIJÓ,
13975,K-ZERO RESTAURANT,RESTAURANTE,(1) Un tenedor,10 de agosto 162-37 OLMEDO Y JUAN JOSE PEÑA,
13976,CASA CHINA ,RESTAURANTE,CUARTA,AV. GUAYAQUIL # 337 Y MEXICO,
13977,CHIFA TAI TONG,RESTAURANTE,TERCERA,"FLORIDA NORTE, MZ. 100, SOLAR #6",
13978,NOSTALGIAS WEST END,BAR,PRIMERA,"URDESA CENTRAL. AV. LAS LOMAS 211 Y CALLE INTERIOR. C.C. URDESA, LC. 21",
13979,PUB 39,BAR,PRIMERA,"AV. LAS MONJAS S/N Y AV. CARLOS JULIO AROSEMENA - C.C. AVENTURA PLAZA, LOCAL #39-A",
13980,HONG KONG DELI DIM SUM,RESTAURANTE,TERCERA,"KM 1.5 VIA A SAMBORONDON, C.C. LAS TERRAZAS, LOCAL 7,11,12, P.A.",
13981,PAZ CRUZ MARCUS ALEXANDER,RESTAURANTE,SEGUNDA / 3 TENEDORES,Oriente OE3-19 y Guayaquil,
13982,FRUTILANDIA,FUENTE DE SODA,TERCERA,QUITO Y ESPEJO,
13983,DOÑA LOLITA,RESTAURANTE,CUARTA,VIA ALOAG - SANTO DOMINGO N° 2 Y PRINCIPAL,
13984,ASADERO DON MANOLO,RESTAURANTE,CUARTA,VICENTE LEON Y ANA PAREDES,
13985,HELADERIA LA DELICIA,FUENTE DE SODA,SEGUNDA,BARRIO LA AVANZADA CALLE PANAMERICANA SUR S/N Y MARQUESA DE SOLANDA,
13986,CHIFA MACAU,RESTAURANTE,(1) Un tenedor,JUAN BENIGNO VELA   07-67 MONTALVO,
13987,MARCELO´S STEAK HOUSE ,RESTAURANTE,CUARTA,AV. LUIS CORDERO 2583 Y AV. GRAL. ENRIQUEZ ,
13988,PARAISO DORADO EL ,PENSION,SEGUNDA,,
13989,VIRGEN DEL CISNE C&V,HOSTAL,1 Estrellas,GARCIA MORENO LOTE 3 SAN VIV}CENTE DE FERRER,
13990,CHESCO PIZZERIA,RESTAURANTE,SEGUNDA,PICHINCHA E/ AYACUCHO Y GUAYAS,
13991,HELADERIA SOFT CREAM,FUENTE DE SODA,TERCERA,GONZALO CABEZAS S10-810 Y MICHELENA,
13992,MANABA PAISA,RESTAURANTE,TERCERA,VIA LIBERTAD SALINAS 1ERA ENTRADA A SANTA ROSA,
13993,AREA 51,DISCOTECA,(1) Una copa,CIRCUNVALACION  SN SN,
13994,YANG POLLO DE LA MITAD DEL MUNDO,RESTAURANTE,TERCERA / 2 TENEDORES,Av. 13 de Junio N1-245 y Misión Geodésica,
13995,ORQUIDEAS,RESTAURANTE,CUARTA,VIA CHONE KM. 26,
13996,ACOPOLIS,TERMAS Y BALNEARIOS,SEGUNDA,"VÍA A JULIO MORENO KM. 6, MARGEN IZQUIERDO",
13997,MARISQUERÍA DON VITO,RESTAURANTE,CUARTA / 1 TENEDOR,ALEMANIA 12-14 Y AV. REPÚBLICA,
13998,EMPANADAS LA BOLIVIANA,CAFETERÍA,PRIMERA / 1 TAZA,Gangotena N26-174 y Av. Francisco de Orellana,
13999,EL CHARRUA PARRILLADA,RESTAURANTE,(2) Dos tenedores,AV 10 DE AGOSTO 5-200 ANTONIO RAMIREZ,
14000,CHARRUA PARRILLADA EL,RESTAURANTE,SEGUNDA,AV. 10 DE AGOSTO 5-200 Y ANTONIO RAMIREZ,
14001,EL DORADO,HOSTAL,TERCERA,PARROQUIA SAN VICENTE DE hUATICOCHA,
14002,URUGUAYO EL,RESTAURANTE,TERCERA,QUISQUIS 1600 Y CARCHI (ESQUINA),
14003,HAMBURGUESAS DEL SESE,RESTAURANTE,SEGUNDA / 3 TENEDORES,Tamayo N22-56 y Veintimilla,
14004,RESTAURANT SUPER POLLO,RESTAURANTE,(1) Un tenedor,Av. 15 de noviembre S/N Calle César Augusto Rueda,
14005,CALDOS DE LA ALONSO LOS,RESTAURANTE,CUARTA / 1 TENEDOR,Alonso de Angulo Oe1-186 y Francisco Gómez,
14006,HOSTAL LUIGI,HOSTAL,3 Estrellas,NAVIO PERICLES S/N MARTHA ZURITA,
14007,RESTAURANTE Y CAFETERIA EL CUENTO,RESTAURANTE,SEGUNDA / 3 TENEDORES,Vicente Ramon Roca E10-29 y Av. 12 de Octubre,
14008,LOS CEVICHES DE LA 10,RESTAURANTE,SEGUNDA / 3 TENEDORES,Av. 10 de Agosto N21-102 y San Gregorio,
14009,LOS CEVICHES DE LA 10,RESTAURANTE,SEGUNDA / 3 TENEDORES,Av. 18 de Septiembre OE2-21 y Manuel Larrea,www.loscevichesdela10.com
14010,HOSTAL RESIDENCIAL ESTUDIANTIL,HOSTAL,2 ESTRELLAS,18 de Septiembre OE2-21 y MANUEL LARREA,
14011,EL PONDO DE BARRO,RESTAURANTE,SEGUNDA / 3 TENEDORES,GUAYAQUIL s1-81 y MORALES,
14012,DELICIAS DEL PONDO,RESTAURANTE,SEGUNDA / 3 TENEDORES,GUAYAQUIL S1-83 y MORALES,
14013,ORO´S,HOSTAL,2 ESTRELLAS,CAMILO PONCE ENRIQUEZ N11-296 y CALLE L,
14014,PALOVERDE,CASA DE HUÉSPEDES,Categoría única,Charles Binford S/N S/N,
14015,MINI DESPENSA Y ALGO MÁS,FUENTE DE SODA,TERCERA,AV. GALO PLAZA LASSO N743-38 Y CALLE C,
14016,DELICIAS LAS,FUENTE DE SODA,TERCERA,NAPO Y CUENCA,
14017,BROWNIES & CO,CAFETERÍA,TERCERA,AV. 4 DE NOVIEMBRE C.C.PASEO SHOPPING,
14018,CAFE AL PASO-AROMA NESCAFE,CAFETERÍA,SEGUNDA,"C.C. PASEO SHOPPING PATIO DE COMIDAS, AVDA. 4 DE NOVIEMBRE",
14019,BROWNIES & CO.,FUENTE DE SODA,SEGUNDA,C.C EL PASEO SHOPPING VIA LIBERTAD SALINAS,
14020,ISLA CAFE AL PASO,FUENTE DE SODA,TERCERA,C.C. RIOCENTRO ENTRE RIOS ISLA VIA SAMBORONDON LM 1.5,
